// The structure of a dataset will be as described below.
// (we're using a very restricted design for simplicity).

// You can visit
//    http://archive.ics.uci.edu/ml/datasets/Congressional+Voting+Records
// to see more about this dataset.

// NOTE: Your code should handle both Windows-formatted and Linux-formatted files
// (which, unfortunately, differ in how the end of line is represented).

// The number of features:
16

// The names of the features (16 key US Congressional bills from 1984,
// the possible feature values are "voted for [y] or against [n]")
handicapped-infants 	       	-      y n
water-project-cost-sharing	   	-      y n
adoption-of-the-budget-resolution  	-      y n
physician-fee-freeze		   	-      y n
el-salvador-aid		           	-      y n
religious-groups-in-schools		-      y n
anti-satellite-test-ban			-      y n
aid-to-nicaraguan-contras		-      y n
mx-missle				      -      y n
immigration				      -      y n
synthfuels-corporation-cutback	-      y n
education-spending			-      y n
superfund-right-to-sue			-      y n
crime					      -      y n
duty-free-exports			      -      y n
export-administration-act-south-africa -   y n

// The class labels (we assume, for simplicity, that only TWO values are possible):
democrat
republican


// The number of examples (will read this many in; ok to have more in the file)
100

// The examples (we assume, for simplicity, that all features are BOOLEAN-VALUED)
//   First is the example's name, then its category, finally followed
//   by the values of all of its features (listed in the order of the
//   feature names above, will be separated by "whitespace"). 
//   The (boring) names are simply used to concisely identify the examples.
//   Your decision-tree learner should NOT use these names as a feature (what would happen if you did?).

// You may assume that "y" and "n" (stored as STRINGs by the provided code)
// are the only valid feature values.

trainEx1  democrat     n y y n y y n n n n n n y y y y
trainEx2  republican   n y n y y y n n n n n y y y n y
trainEx3  democrat     y y y n n n y y y n y n n n y y
trainEx4  democrat     y y y n n n y y y n n n n n y y
trainEx5  democrat     y n y n n n y y y y n n n n y y
trainEx6  democrat     y n y n n n y y y n y n n n y y
trainEx7  democrat     y y y n n n y y y n y n n n y y
trainEx8  republican   y n n y y n y y y n n y y y n y
trainEx9  democrat     y y y n n n y y y n y n n n y y
trainEx10 republican   n y n y y y n n n n n y y y n n
trainEx11 democrat     y n y n n y y y y y y n n n y y
trainEx12 democrat     y y y n n n y y y y n n y n y y
trainEx13 republican   n y n y y y n n n n n y y y n y
trainEx14 democrat     y y y n n n y y y n n n n n y y
trainEx15 republican   n y n y y y n n n n n y y y n n
trainEx16 republican   y y n y y y n n n n n n y y n y
trainEx17 republican   n y n y y y n n n y n y y y n n
trainEx18 democrat     y n y n n n y y y y y n y n y y
trainEx19 democrat     y n y n n n y y y n n n n n n y
trainEx20 democrat     y n y n n n y y y n n n n n y y
trainEx21 democrat     y y y n n n y y y n n n n n n y
trainEx22 democrat     y y y n n n y y n n n n n y n y
trainEx23 democrat     y y y n n n y y y n y n n n y y
trainEx24 republican   y y n y y y n n n y n y y y n n
trainEx25 republican   n y n y y y n n n y y y y y n n
