
20

// Next are the feature names followed by a dash and then the legal values of this feature
// In the CS 540 programming HWs related to decision trees, we will assume that all features have
// two possible values, though they might have names other than the T and F used here (eg,
// might have: "size - small big" in some other testbed used during grading).

fixedAcidityGt47 - T F

volatileAcidityGt17 - T F
volatileAcidityGt29 - T F

citricAcidGt30 - T F

residualSugarGtMean - T F

chloridesGt9 - T F

freeSulfurDioxideGtMean - T F

totalSulfurDioxideGt27 - T F
totalSulfurDioxideGt37 - T F
totalSulfurDioxideGt54 - T F

densityGt18 - T F
densityGt41 - T F

pHGtMean - T F

sulphatesGt12 - T F
sulphatesGt15 - T F
sulphatesGt19 - T F
sulphatesGt44 - T F

alcoholGt22 - T F
alcoholGt33 - T F
alcoholGt47 - T F

// The original class label was a rating of the wine on a scale from 0-10. In this dataset, ratings  
// from 0-5 are combined into "lowToMid" and ratings from 6-10 are combined into "midToHigh".
// Assume that for CS 540 HWs, only two values are possible for the class label.
lowToMid
midToHigh

// The number of examples (will read this many in; ok to have more in the file)
892

// The examples (as mentioned above, we assume, for simplicity, that all features are BOOLEAN-VALUED, 
// *though the names of the two values might differ across datasets*)


trainEx1 lowToMid F T T F F T F F F F T T F T T T F F F  F
trainEx2 lowToMid F T T F F T F F F F T T F T T T F F F F
trainEx3 midToHigh F F F T F F T F F F T T T T T T F T F F
trainEx4 lowToMid F T F F F T F F F F T T  T F F F F F F F
trainEx5 midToHigh F T F F F T F F F F T 	F T T T T F T T F
trainEx6 midToHigh F T T F T T T F F F T T F T T F F T F F
trainEx7 lowToMid F T T F F T F F F F T T F T T T F F F F
trainEx8 lowToMid F T T F F T  T T F F T T F T T F F F F F
trainEx9 lowToMid F T T F F T F F F F T F F T F F F F F F
trainEx10 lowToMid F T T F T T T T F F T T T T T F F T T F
trainEx11 lowToMid F T T F F F F F F F T F T T T F F F F F
trainEx12 lowToMid F T T F F F F F F F T F F T T F F F F F
trainEx13 lowToMid F T F F F F F F F   F T T T T T F F F F F
trainEx14 midToHigh F T T F F F F F F F T F T  F F F F T T F    
trainEx15 midToHigh F T F T F T F T F F T T F T T T T T F F
trainEx16 midToHigh F T F F F T T F F F T T F F F F F T F F
trainEx17 lowToMid F T T F T F F F F F T F T F F F F T T T
trainEx18 midToHigh F T F F F T F F F F T T F T T T F F F F
trainEx19 lowToMid F T T F F T T T F F T T F T F F F F F F
trainEx20 midToHigh F T T F F T F F F F T T T T T T F F F F
trainEx21 lowToMid F T T F T T T F F F T T T T F F F F F F
trainEx22 lowToMid F T T F F F F F F F T F T T F F F T T F
trainEx23 lowToMid F T F T F F F F F F T T F T T T F F F F
